"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 03-Jan-2024"
"NIFTY 500","22,850.10","22,867.85","22,681.30","22,819.75","22,708.15","-","-111.60","-0.49","2,20,10,40,539","84,132.18","24,573.40","19,080.50","-0.87","17.83"
"ITI","385.50","457.10","379.05","380.95","457.10","-","76.15","19.99","8,92,46,558","3,794.94","457.10","210.00","32.53","22.18"
"SAREGAMA","478.25","562.80","478.25","478.25","532.60","-","54.35","11.36","1,36,19,711","731.56","688.90","325.85","-7.74","27.52"
"DMART","3,840.00","4,165.90","3,820.00","3,611.10","4,011.90","-","400.80","11.10","92,84,385","3,782.62","5,484.85","3,399.00","-5.71","-8.17"
"PTCIL","13,548.95","14,628.00","13,270.05","13,301.75","14,360.00","-","1,058.25","7.96","68,154","95.93","15,702.10","6,748.05","11.62","86.98"
"LLOYDSME","1,360.00","1,460.00","1,325.65","1,340.75","1,420.00","-","79.25","5.91","31,52,260","447.39","1,460.00","525.90","26.81","123.16"
"VIJAYA","1,046.60","1,148.70","1,027.55","1,050.45","1,110.10","-","59.65","5.68","13,85,749","154.54","1,249.95","596.05","-9.21","58.61"
"ONGC","248.45","262.75","247.99","246.07","258.65","-","12.58","5.11","4,97,60,410","1,279.34","345.00","204.50","-6.21","18.16"
"JUSTDIAL","1,020.00","1,076.80","1,020.00","1,009.45","1,061.00","-","51.55","5.11","9,99,232","105.94","1,395.00","768.00","-9.26","25.09"
"SHYAMMETL","740.00","802.00","740.00","742.50","780.00","-","37.50","5.05","45,75,916","359.47","956.90","511.20","-10.53","11.04"
"MAHABANK","54.71","56.30","54.51","52.76","55.29","-","2.53","4.80","6,31,48,953","349.91","73.50","45.20","-7.55","11.54"
"JUBLINGREA","824.35","864.00","811.05","822.65","860.30","-","37.65","4.58","10,04,706","84.96","885.00","420.00","5.83","66.85"
"UPL","508.50","533.25","508.50","509.45","530.00","-","20.55","4.03","28,88,197","151.54","600.96","430.58","-9.53","-13.19"
"RECLTD","522.05","544.70","519.85","518.45","537.85","-","19.40","3.74","1,45,67,780","778.69","654.00","408.30","-3.94","22.41"
"IGL","428.00","453.40","423.40","425.70","441.60","-","15.90","3.74","99,61,631","439.63","570.35","306.10","17.84","0.83"
"HINDZINC","452.50","472.50","450.85","452.50","469.35","-","16.85","3.72","23,12,908","107.75","807.70","284.60","-10.78","41.94"
"OIL","468.00","491.25","466.00","463.30","480.40","-","17.10","3.69","1,20,72,883","583.81","767.90","241.60","-5.51","20.12"
"CHOLAFIN","1,279.00","1,330.60","1,270.55","1,271.50","1,315.90","-","44.40","3.49","45,75,469","600.93","1,652.00","1,011.20","1.42","2.50"
"APARINDS","10,500.00","11,160.00","10,491.20","10,519.85","10,881.05","-","361.20","3.43","2,69,128","294.59","11,160.00","5,151.00","3.18","79.27"
"GLAND","1,842.00","1,919.50","1,840.05","1,842.00","1,903.00","-","61.00","3.31","5,18,068","98.15","2,220.95","1,585.70","1.63","-9.31"
"QUESS","677.95","718.80","677.90","668.10","690.00","-","21.90","3.28","43,44,346","304.07","875.00","459.50","-7.03","30.15"
"IREDA","221.58","234.29","220.61","222.46","229.50","-","7.04","3.16","3,57,53,765","816.97","310.00","100.20","7.62","118.53"
"TATAMOTORS","768.00","800.60","761.45","765.05","789.00","-","23.95","3.13","2,47,73,025","1,949.27","1,179.00","717.70","-4.52","-2.10"
"RBLBANK","159.40","164.00","158.31","159.12","163.80","-","4.68","2.94","1,11,74,336","179.97","300.70","147.50","-2.21","-44.15"
"SBICARD","700.00","728.70","698.05","702.70","723.20","-","20.50","2.92","15,02,248","107.31","817.40","647.95","-0.24","-8.72"
"BATAINDIA","1,424.00","1,464.95","1,415.00","1,421.60","1,461.75","-","40.15","2.82","3,38,918","49.16","1,637.05","1,269.00","-0.30","-10.88"
"ENGINERSIN","182.90","189.69","182.89","182.72","187.70","-","4.98","2.73","44,20,664","83.01","303.90","171.58","-10.40","-10.37"
"POLYMED","2,750.00","2,797.35","2,705.75","2,709.75","2,782.50","-","72.75","2.68","1,46,056","40.36","3,357.80","1,361.00","-3.30","87.50"
"CHOLAHLDNG","1,500.00","1,584.00","1,482.45","1,504.80","1,544.40","-","39.60","2.63","5,81,811","90.41","2,154.95","989.05","-2.98","48.60"
"SRF","2,234.00","2,290.00","2,216.05","2,224.75","2,282.00","-","57.25","2.57","5,04,499","114.16","2,693.95","2,089.10","-3.74","-11.24"
"KIMS","613.90","638.90","613.85","613.90","629.00","-","15.10","2.46","10,20,109","64.16","638.90","350.00","0.66","-68.44"
"HUDCO","242.85","254.29","242.25","242.23","248.05","-","5.82","2.40","1,15,84,499","287.89","353.70","122.70","2.84","91.03"
"NETWORK18","72.00","74.60","71.69","71.34","73.00","-","1.66","2.33","43,85,304","32.29","135.70","70.01","-10.61","-20.47"
"NAUKRI","8,909.00","9,085.00","8,880.00","8,878.95","9,085.00","-","206.05","2.32","4,02,651","361.52","9,085.00","4,862.20","4.80","74.51"
"THERMAX","4,098.70","4,316.95","4,090.00","4,058.10","4,152.00","-","93.90","2.31","3,44,228","144.37","5,839.95","2,977.00","-15.84","27.84"
"CENTRALBK","54.12","56.47","54.12","53.96","55.20","-","1.24","2.30","83,64,274","46.46","76.90","49.16","-4.87","3.87"
